YEAR_PRD,MONTH_PRD,SOURCE,PLANT,QTY
2016,FEB,Domestic Production,Nam phong,12
2016,FEB,Domestic Production,Oths.,1
2016,FEB,Domestic Production,Pailin,324
2016,FEB,Domestic Production,Phu horm,129
2016,FEB,Domestic Production,Sirikit,49
2016,FEB,Domestic Production,Tan tawan,143
2016,FEB,Domestic Production,Yoong thong,2
2016,FEB,Import,LNG ,312
2016,FEB,Import,Yadana,376
2016,FEB,Import,Yetakun,196
2016,FEB,Import,Zawtika,185
2016,JAN,Domestic Production,Arthit,282
2016,JAN,Domestic Production,Bongkot,1074
2016,JAN,Domestic Production,Erawan,1270
2016,JAN,Domestic Production,JDA,625
2016,JAN,Domestic Production,Lanta,2
2016,JAN,Domestic Production,Nam phong,12
2016,JAN,Domestic Production,Oths.,1
2016,JAN,Domestic Production,Pailin,387
2016,JAN,Domestic Production,Phu horm,121
2016,JAN,Domestic Production,Sirikit,37
2016,JAN,Domestic Production,Tan tawan,148
2016,JAN,Domestic Production,Yoong thong,2
2016,JAN,Import,LNG ,144
2016,JAN,Import,Yadana,424
2016,JAN,Import,Yetakun,217
2016,JAN,Import,Zawtika,216
2016,JUL,Domestic Production,Arthit,190
2016,JUL,Domestic Production,Bongkot,637
2016,JUL,Domestic Production,Bongkot Tai,424
2016,JUL,Domestic Production,Erawan,1397
2016,JUL,Domestic Production,JDA,565
2016,JUL,Domestic Production,Jasmin,6
2016,JUL,Domestic Production,Lanta,3
2016,JUL,Domestic Production,Nam phong,11
2016,JUL,Domestic Production,Oths.,6
2016,JUL,Domestic Production,Pailin,342
2016,JUL,Domestic Production,Phu horm,113
2016,JUL,Domestic Production,Sirikit,43
2016,JUL,Domestic Production,Tan tawan,144
2016,JUL,Domestic Production,Yoong thong,9
2016,JUL,Import,LNG ,440
2016,JUL,Import,Yadana,355
2016,JUL,Import,Yetakun,198
2016,JUL,Import,Zawtika,194
2016,JUN,Domestic Production,Arthit,237
2016,JUN,Domestic Production,Bongkot,986
2016,JUN,Domestic Production,Erawan,1166
2016,JUN,Domestic Production,JDA,541
2016,JUN,Domestic Production,Lanta,3
2016,JUN,Domestic Production,Nam phong,11
2016,JUN,Domestic Production,Oths.,2
2016,JUN,Domestic Production,Pailin,286
2016,JUN,Domestic Production,Phu horm,129
2016,JUN,Domestic Production,Sirikit,45
2016,JUN,Domestic Production,Tan tawan,144
2016,JUN,Domestic Production,Yoong thong,11
2016,JUN,Import,LNG ,449
2016,JUN,Import,Yadana,448
2016,JUN,Import,Yetakun,239
2016,JUN,Import,Zawtika,224
2016,MAR,Domestic Production,Arthit,235
2016,MAR,Domestic Production,Bongkot,919
2016,MAR,Domestic Production,Erawan,1336
2016,MAR,Domestic Production,JDA,578
2016,MAR,Domestic Production,Lanta,2
2016,MAR,Domestic Production,Nam phong,11
2016,MAR,Domestic Production,Oths.,1
2016,MAR,Domestic Production,Pailin,352
2016,MAR,Domestic Production,Phu horm,124
2016,MAR,Domestic Production,Sirikit,45
2016,MAR,Domestic Production,Tan tawan,147
2016,MAR,Domestic Production,Yoong thong,4
2016,MAR,Import,LNG ,583
2016,MAR,Import,Yadana,380
2016,MAR,Import,Yetakun,251
2016,MAR,Import,Zawtika,151
2016,MAY,Domestic Production,Arthit,238
2016,MAY,Domestic Production,Bongkot,883
2016,MAY,Domestic Production,Erawan,1345
2016,MAY,Domestic Production,JDA,558
2016,MAY,Domestic Production,Lanta,2
2016,MAY,Domestic Production,Nam phong,11
2016,MAY,Domestic Production,Oths.,1
2016,MAY,Domestic Production,Pailin,344
2016,MAY,Domestic Production,Phu horm,128
2016,MAY,Domestic Production,Sirikit,46
2016,MAY,Domestic Production,Tan tawan,126
2016,MAY,Domestic Production,Yoong thong,8
2016,MAY,Import,LNG ,679
2016,MAY,Import,Yadana,473
2016,MAY,Import,Yetakun,243
2016,MAY,Import,Zawtika,237
2016,NOV,Domestic Production,Arthit,251
2016,NOV,Domestic Production,Bongkot,511
2016,NOV,Domestic Production,Bongkot Tai,393
2016,NOV,Domestic Production,Erawan,1391
2016,NOV,Domestic Production,JDA,465
2016,NOV,Domestic Production,Jasmin,7
2016,NOV,Domestic Production,Lanta,11
2016,NOV,Domestic Production,Nam phong,11
2016,NOV,Domestic Production,Oths.,6
2016,NOV,Domestic Production,Pailin,352
2016,NOV,Domestic Production,Phu horm,115
2016,NOV,Domestic Production,Sirikit,56
2016,NOV,Domestic Production,Tan tawan,131
2016,NOV,Domestic Production,Yoong thong,4
2016,NOV,Import,LNG ,454
2016,NOV,Import,Yadana,431
2016,NOV,Import,Yetakun,207
2016,NOV,Import,Zawtika,235
2016,OCT,Domestic Production,Arthit,256
2016,OCT,Domestic Production,Bongkot,647
2016,OCT,Domestic Production,Bongkot Tai,350
2016,OCT,Domestic Production,Erawan,1327
2016,OCT,Domestic Production,JDA,508
2016,OCT,Domestic Production,Jasmin,6
2016,OCT,Domestic Production,Lanta,11
2016,OCT,Domestic Production,Nam phong,10
2016,OCT,Domestic Production,Oths.,6
2016,OCT,Domestic Production,Pailin,350
2016,OCT,Domestic Production,Phu horm,98
2016,OCT,Domestic Production,Sirikit,41
2016,OCT,Domestic Production,Tan tawan,136
2016,OCT,Domestic Production,Yoong thong,5
2016,OCT,Import,LNG ,291
2016,OCT,Import,Yadana,476
2016,OCT,Import,Yetakun,232
2016,OCT,Import,Zawtika,244
2016,SEP,Domestic Production,Arthit,250
2016,SEP,Domestic Production,Bongkot,542
2016,SEP,Domestic Production,Bongkot Tai,368
2016,SEP,Domestic Production,Erawan,1420
2016,SEP,Domestic Production,JDA,516
2016,SEP,Domestic Production,Jasmin,6
2016,SEP,Domestic Production,Lanta,11
2016,SEP,Domestic Production,Nam phong,11
2016,SEP,Domestic Production,Oths.,6
2016,SEP,Domestic Production,Pailin,327
2016,SEP,Domestic Production,Phu horm,115
2016,SEP,Domestic Production,Sirikit,43
2016,SEP,Domestic Production,Tan tawan,137
2016,SEP,Domestic Production,Yoong thong,5
2016,SEP,Import,LNG ,450
2016,SEP,Import,Yadana,471
2016,SEP,Import,Yetakun,242
2016,SEP,Import,Zawtika,236
2017,APR,Domestic Production,Arthit,251
2017,APR,Domestic Production,Bongkot,526
2017,APR,Domestic Production,Bongkot Tai,240
2017,APR,Domestic Production,Erawan,1322
2017,APR,Domestic Production,JDA,435
2017,APR,Domestic Production,Jasmin,5
2017,APR,Domestic Production,Lanta,2
2017,APR,Domestic Production,Nam phong,9
2017,APR,Domestic Production,Oths.,5
2017,APR,Domestic Production,Pailin,297
2017,APR,Domestic Production,Phu horm,100
2017,APR,Domestic Production,Sirikit,46
2017,APR,Domestic Production,Tan tawan,107
2017,APR,Domestic Production,Yoong thong,5
2017,APR,Import,LNG ,691
2017,APR,Import,Yadana,355
2017,APR,Import,Yetakun,195
2017,APR,Import,Zawtika,218
2017,AUG,Domestic Production,Arthit,224
2017,AUG,Domestic Production,Bongkot,567
2017,AUG,Domestic Production,Bongkot Tai,432
2017,AUG,Domestic Production,Erawan,1334
2017,AUG,Domestic Production,JDA,472
2017,AUG,Domestic Production,Jasmin,5
2017,AUG,Domestic Production,Lanta,3
2017,AUG,Domestic Production,Nam phong,9
2017,AUG,Domestic Production,Oths.,4
2017,AUG,Domestic Production,Pailin,355
2017,AUG,Domestic Production,Phu horm,41
2017,AUG,Domestic Production,Sirikit,39
2017,AUG,Domestic Production,Tan tawan,106
2017,AUG,Domestic Production,Yoong thong,5
2017,AUG,Import,LNG ,388
2017,AUG,Import,Yadana,477
2017,AUG,Import,Yetakun,206
2017,AUG,Import,Zawtika,245
2017,DEC,Domestic Production,Arthit,231
2017,DEC,Domestic Production,Bongkot,583
2017,DEC,Domestic Production,Bongkot Tai,389
2017,DEC,Domestic Production,Erawan,1293
2017,DEC,Domestic Production,JDA,491
2017,DEC,Domestic Production,Jasmin,7
2017,DEC,Domestic Production,Lanta,2
2017,DEC,Domestic Production,Oths.,5
2017,DEC,Domestic Production,Pailin,405
2017,DEC,Domestic Production,Phu horm,39
2017,DEC,Domestic Production,Sirikit,38
2017,DEC,Domestic Production,Tan tawan,93
2017,DEC,Domestic Production,Yoong thong,1
2017,DEC,Import,LNG ,288
2017,DEC,Import,Yadana,395
2017,DEC,Import,Yetakun,181
2017,DEC,Import,Zawtika,212
2017,FEB,Domestic Production,Arthit,228
2017,FEB,Domestic Production,Bongkot,616
2017,FEB,Domestic Production,Bongkot Tai,389
2017,FEB,Domestic Production,Erawan,1273
2017,FEB,Domestic Production,JDA,473
2017,FEB,Domestic Production,Jasmin,6
2017,FEB,Domestic Production,Lanta,3
2017,FEB,Domestic Production,Nam phong,10
2017,FEB,Domestic Production,Oths.,7
2017,FEB,Domestic Production,Pailin,272
2017,FEB,Domestic Production,Phu horm,127
2017,FEB,Domestic Production,Sirikit,60
2017,FEB,Domestic Production,Tan tawan,134
2017,FEB,Domestic Production,Yoong thong,5
2017,FEB,Import,LNG ,606
2017,FEB,Import,Yadana,352
2017,FEB,Import,Yetakun,220
2017,FEB,Import,Zawtika,149
2017,JAN,Domestic Production,Arthit,246
2017,JAN,Domestic Production,Bongkot,636
2017,JAN,Domestic Production,Bongkot Tai,407
2017,JAN,Domestic Production,Erawan,1278
2017,JAN,Domestic Production,JDA,490
2017,JAN,Domestic Production,Jasmin,8
2017,JAN,Domestic Production,Lanta,3
2017,JAN,Domestic Production,Nam phong,10
2017,JAN,Domestic Production,Oths.,6
2017,JAN,Domestic Production,Pailin,371
2017,JAN,Domestic Production,Phu horm,130
2017,JAN,Domestic Production,Sirikit,59
2017,JAN,Domestic Production,Tan tawan,130
2017,JAN,Domestic Production,Yoong thong,4
2017,JAN,Import,LNG ,485
2017,JAN,Import,Yadana,426
2017,JAN,Import,Yetakun,209
2017,JAN,Import,Zawtika,230
2017,JUL,Domestic Production,Arthit,211
2017,JUL,Domestic Production,Bongkot,420
2017,JUL,Domestic Production,Bongkot Tai,420
2017,JUL,Domestic Production,Erawan,1284
2017,JUL,Domestic Production,JDA,352
2017,JUL,Domestic Production,Jasmin,5
2017,JUL,Domestic Production,Lanta,3
2017,JUL,Domestic Production,Nam phong,9
2017,JUL,Domestic Production,Oths.,4
2017,JUL,Domestic Production,Pailin,304
2017,JUL,Domestic Production,Phu horm,47
2017,JUL,Domestic Production,Sirikit,44
2017,JUL,Domestic Production,Tan tawan,106
2017,JUL,Domestic Production,Yoong thong,5
2017,JUL,Import,LNG ,496
2017,JUL,Import,Yadana,491
2017,JUL,Import,Yetakun,224
2017,JUL,Import,Zawtika,250
2017,JUN,Domestic Production,Arthit,259
2017,JUN,Domestic Production,Bongkot,356
2017,JUN,Domestic Production,Bongkot Tai,440
2017,JUN,Domestic Production,Erawan,1361
2017,JUN,Domestic Production,JDA,395
2017,JUN,Domestic Production,Jasmin,5
2017,JUN,Domestic Production,Lanta,2
2017,JUN,Domestic Production,Nam phong,9
2017,JUN,Domestic Production,Oths.,4
2017,JUN,Domestic Production,Pailin,397
2017,JUN,Domestic Production,Phu horm,64
2017,JUN,Domestic Production,Sirikit,29
2017,JUN,Domestic Production,Tan tawan,109
2017,JUN,Domestic Production,Yoong thong,1
2017,JUN,Import,LNG ,674
2017,JUN,Import,Yadana,455
2017,JUN,Import,Yetakun,215
2017,JUN,Import,Zawtika,261
2017,MAR,Domestic Production,Arthit,247
2017,MAR,Domestic Production,Bongkot,610
2017,MAR,Domestic Production,Bongkot Tai,454
2017,MAR,Domestic Production,Erawan,1292
2017,MAR,Domestic Production,JDA,502
2017,MAR,Domestic Production,Jasmin,5
2017,MAR,Domestic Production,Lanta,3
2017,MAR,Domestic Production,Nam phong,10
2017,MAR,Domestic Production,Oths.,6
2017,MAR,Domestic Production,Pailin,359
2017,MAR,Domestic Production,Phu horm,115
2017,MAR,Domestic Production,Sirikit,50
2017,MAR,Domestic Production,Tan tawan,130
2017,MAR,Domestic Production,Yoong thong,5
2017,MAR,Import,LNG ,693
2017,MAR,Import,Yadana,357
2017,MAR,Import,Yetakun,177
2017,MAR,Import,Zawtika,185
2017,MAY,Domestic Production,Arthit,240
2017,MAY,Domestic Production,Bongkot,522
2017,MAY,Domestic Production,Bongkot Tai,436
2017,MAY,Domestic Production,Erawan,1404
2017,MAY,Domestic Production,JDA,502
2017,MAY,Domestic Production,Jasmin,6
2017,MAY,Domestic Production,Lanta,3
2017,MAY,Domestic Production,Nam phong,9
2017,MAY,Domestic Production,Oths.,4
2017,MAY,Domestic Production,Pailin,367
2017,MAY,Domestic Production,Phu horm,40
2017,MAY,Domestic Production,Sirikit,44
2017,MAY,Domestic Production,Tan tawan,113
2017,MAY,Domestic Production,Yoong thong,2
2017,MAY,Import,LNG ,616
2017,MAY,Import,Yadana,454
2017,MAY,Import,Yetakun,229
2017,MAY,Import,Zawtika,240
2017,NOV,Domestic Production,Arthit,254
2017,NOV,Domestic Production,Bongkot,632
2017,NOV,Domestic Production,Bongkot Tai,443
2017,NOV,Domestic Production,Erawan,1418
2017,NOV,Domestic Production,JDA,528
2017,NOV,Domestic Production,Jasmin,6
2017,NOV,Domestic Production,Lanta,2
2017,NOV,Domestic Production,Nam phong,10
2017,NOV,Domestic Production,Oths.,4
2017,NOV,Domestic Production,Pailin,434
2017,NOV,Domestic Production,Phu horm,62
2017,NOV,Domestic Production,Sirikit,40
2017,NOV,Domestic Production,Tan tawan,97
2017,NOV,Domestic Production,Yoong thong,2
2017,NOV,Import,LNG ,153
2017,NOV,Import,Yadana,389
2017,NOV,Import,Yetakun,205
2017,NOV,Import,Zawtika,221
2017,OCT,Domestic Production,Arthit,283
2017,OCT,Domestic Production,Bongkot,599
2017,OCT,Domestic Production,Bongkot Tai,467
2017,OCT,Domestic Production,Erawan,1302
2017,OCT,Domestic Production,JDA,524
2017,OCT,Domestic Production,Jasmin,7
2017,OCT,Domestic Production,Lanta,2
2017,OCT,Domestic Production,Nam phong,10
2017,OCT,Domestic Production,Oths.,5
2017,OCT,Domestic Production,Pailin,416
2017,OCT,Domestic Production,Phu horm,102
2017,OCT,Domestic Production,Sirikit,41
2017,OCT,Domestic Production,Tan tawan,101
2017,OCT,Domestic Production,Yoong thong,3
2017,OCT,Import,LNG ,534
2017,OCT,Import,Yadana,414
2017,OCT,Import,Yetakun,185
2017,OCT,Import,Zawtika,231
2017,SEP,Domestic Production,Arthit,258
2017,SEP,Domestic Production,Bongkot,534
2017,SEP,Domestic Production,Bongkot Tai,446
2017,SEP,Domestic Production,Erawan,1253
2017,SEP,Domestic Production,JDA,463
2017,SEP,Domestic Production,Jasmin,6
2017,SEP,Domestic Production,Lanta,2
2017,SEP,Domestic Production,Nam phong,7
2017,SEP,Domestic Production,Oths.,7
2017,SEP,Domestic Production,Pailin,380
2017,SEP,Domestic Production,Phu horm,76
2017,SEP,Domestic Production,Sirikit,39
2017,SEP,Domestic Production,Tan tawan,103
2017,SEP,Domestic Production,Yoong thong,4
2017,SEP,Import,LNG ,518
2017,SEP,Import,Yadana,463
2017,SEP,Import,Yetakun,198
2017,SEP,Import,Zawtika,238
2018,APR,Domestic Production,Arthit,242
2018,APR,Domestic Production,Bongkot,393
2018,APR,Domestic Production,Bongkot Tai,389
2018,APR,Domestic Production,Erawan,1234
2018,APR,Domestic Production,JDA,505
2018,APR,Domestic Production,Jasmin,7
2018,APR,Domestic Production,Lanta,0
2018,APR,Domestic Production,Nam phong,9
2018,APR,Domestic Production,Oths.,4
2018,APR,Domestic Production,Pailin,437
2018,APR,Domestic Production,Phu horm,97
2018,APR,Domestic Production,Sirikit,36
2018,APR,Domestic Production,Tan tawan,26
2018,APR,Domestic Production,Yoong thong,2
2018,APR,Import,LNG ,686
2018,APR,Import,Yadana,423
2018,APR,Import,Yetakun,102
2018,APR,Import,Zawtika,248
2018,AUG,Domestic Production,Arthit,215
2018,AUG,Domestic Production,Bongkot,407
2018,AUG,Domestic Production,Bongkot Tai,299
2018,AUG,Domestic Production,Erawan,1345
2018,AUG,Domestic Production,JDA,471
2018,AUG,Domestic Production,Jasmin,6
2018,AUG,Domestic Production,Lanta,1
2018,AUG,Domestic Production,Nam phong,8
2018,AUG,Domestic Production,Oths.,5
2018,AUG,Domestic Production,Pailin,448
2018,AUG,Domestic Production,Phu horm,37
2018,AUG,Domestic Production,Sirikit,33
2018,AUG,Domestic Production,Tan tawan,90
2018,AUG,Domestic Production,Yoong thong,9
2018,AUG,Import,LNG ,701
2018,AUG,Import,Yadana,462
2018,AUG,Import,Yetakun,141
2018,AUG,Import,Zawtika,231
2018,DEC,Domestic Production,Arthit,260
2018,DEC,Domestic Production,Bongkot,572
2018,DEC,Domestic Production,Bongkot Tai,54
2018,DEC,Domestic Production,Erawan,1392
2018,DEC,Domestic Production,JDA,537
2018,DEC,Domestic Production,Jasmin,5
2018,DEC,Domestic Production,Lanta,2
2018,DEC,Domestic Production,Nam phong,8
2018,DEC,Domestic Production,Oths.,5
2018,DEC,Domestic Production,Pailin,405
2018,DEC,Domestic Production,Phu horm,101
2018,DEC,Domestic Production,Sirikit,27
2018,DEC,Domestic Production,Tan tawan,85
2018,DEC,Domestic Production,Yoong thong,2
2018,DEC,Import,LNG ,393
2018,DEC,Import,Yadana,363
2018,DEC,Import,Yetakun,99
2018,DEC,Import,Zawtika,179
2018,FEB,Domestic Production,Arthit,247
2018,FEB,Domestic Production,Bongkot,485
2018,FEB,Domestic Production,Bongkot Tai,377
2018,FEB,Domestic Production,Erawan,1324
2018,FEB,Domestic Production,JDA,530
2018,FEB,Domestic Production,Jasmin,7
2018,FEB,Domestic Production,Lanta,2
2018,FEB,Domestic Production,Nam phong,8
2018,FEB,Domestic Production,Oths.,4
2018,FEB,Domestic Production,Pailin,440
2018,FEB,Domestic Production,Phu horm,38
2018,FEB,Domestic Production,Sirikit,37
2018,FEB,Domestic Production,Tan tawan,93
2018,FEB,Domestic Production,Yoong thong,2
2018,FEB,Import,LNG ,529
2018,FEB,Import,Yadana,377
2018,FEB,Import,Yetakun,159
2018,FEB,Import,Zawtika,194
2018,JAN,Domestic Production,Arthit,271
2018,JAN,Domestic Production,Bongkot,605
2018,JAN,Domestic Production,Bongkot Tai,454
2018,JAN,Domestic Production,Erawan,1243
2018,JAN,Domestic Production,JDA,528
2018,JAN,Domestic Production,Jasmin,7
2018,JAN,Domestic Production,Lanta,2
2018,JAN,Domestic Production,Nam phong,8
2018,JAN,Domestic Production,Oths.,5
2018,JAN,Domestic Production,Pailin,411
2018,JAN,Domestic Production,Phu horm,38
2018,JAN,Domestic Production,Sirikit,37
2018,JAN,Domestic Production,Tan tawan,91
2018,JAN,Domestic Production,Yoong thong,2
2018,JAN,Import,LNG ,463
2018,JAN,Import,Yadana,351
2018,JAN,Import,Yetakun,156
2018,JAN,Import,Zawtika,180
2018,JUL,Domestic Production,Arthit,241
2018,JUL,Domestic Production,Bongkot,446
2018,JUL,Domestic Production,Bongkot Tai,298
2018,JUL,Domestic Production,Erawan,1421
2018,JUL,Domestic Production,JDA,438
2018,JUL,Domestic Production,Jasmin,6
2018,JUL,Domestic Production,Lanta,2
2018,JUL,Domestic Production,Nam phong,9
2018,JUL,Domestic Production,Oths.,6
2018,JUL,Domestic Production,Pailin,418
2018,JUL,Domestic Production,Phu horm,84
2018,JUL,Domestic Production,Sirikit,34
2018,JUL,Domestic Production,Tan tawan,90
2018,JUL,Domestic Production,Yoong thong,6
2018,JUL,Import,LNG ,584
2018,JUL,Import,Yadana,473
2018,JUL,Import,Yetakun,143
2018,JUL,Import,Zawtika,233
2018,JUN,Domestic Production,Arthit,240
2018,JUN,Domestic Production,Bongkot,443
2018,JUN,Domestic Production,Bongkot Tai,388
2018,JUN,Domestic Production,Erawan,1314
2018,JUN,Domestic Production,JDA,536
2018,JUN,Domestic Production,Jasmin,7
2018,JUN,Domestic Production,Lanta,2
2018,JUN,Domestic Production,Nam phong,9
2018,JUN,Domestic Production,Oths.,7
2018,JUN,Domestic Production,Pailin,445
2018,JUN,Domestic Production,Phu horm,111
2018,JUN,Domestic Production,Sirikit,33
2018,JUN,Domestic Production,Tan tawan,90
2018,JUN,Domestic Production,Yoong thong,7
2018,JUN,Import,LNG ,735
2018,JUN,Import,Yadana,496
2018,JUN,Import,Yetakun,148
2018,JUN,Import,Zawtika,252
2018,MAR,Domestic Production,Arthit,256
2018,MAR,Domestic Production,Bongkot,495
2018,MAR,Domestic Production,Bongkot Tai,414
2018,MAR,Domestic Production,Erawan,1317
2018,MAR,Domestic Production,JDA,525
2018,MAR,Domestic Production,Jasmin,7
2018,MAR,Domestic Production,Lanta,1
2018,MAR,Domestic Production,Nam phong,6
2018,MAR,Domestic Production,Oths.,5
2018,MAR,Domestic Production,Pailin,317
2018,MAR,Domestic Production,Phu horm,64
2018,MAR,Domestic Production,Sirikit,28
2018,MAR,Domestic Production,Tan tawan,84
2018,MAR,Domestic Production,Yoong thong,2
2018,MAR,Import,LNG ,432
2018,MAR,Import,Yadana,494
2018,MAR,Import,Yetakun,167
2018,MAR,Import,Zawtika,249
2018,MAY,Domestic Production,Arthit,238
2018,MAY,Domestic Production,Bongkot,429
2018,MAY,Domestic Production,Bongkot Tai,390
2018,MAY,Domestic Production,Erawan,1290
2018,MAY,Domestic Production,JDA,511
2018,MAY,Domestic Production,Jasmin,7
2018,MAY,Domestic Production,Lanta,2
2018,MAY,Domestic Production,Nam phong,9
2018,MAY,Domestic Production,Oths.,8
2018,MAY,Domestic Production,Pailin,440
2018,MAY,Domestic Production,Phu horm,102
2018,MAY,Domestic Production,Sirikit,36
2018,MAY,Domestic Production,Tan tawan,91
2018,MAY,Domestic Production,Yoong thong,2
2018,MAY,Import,LNG ,592
2018,MAY,Import,Yadana,484
2018,MAY,Import,Yetakun,159
2018,MAY,Import,Zawtika,249
2018,NOV,Domestic Production,Arthit,256
2018,NOV,Domestic Production,Bongkot,564
2018,NOV,Domestic Production,Bongkot Tai,414
2018,NOV,Domestic Production,Erawan,1354
2018,NOV,Domestic Production,JDA,523
2018,NOV,Domestic Production,Jasmin,5
2018,NOV,Domestic Production,Lanta,3
2018,NOV,Domestic Production,Nam phong,9
2018,NOV,Domestic Production,Oths.,5
2018,NOV,Domestic Production,Pailin,438
2018,NOV,Domestic Production,Phu horm,113
2018,NOV,Domestic Production,Sirikit,29
2018,NOV,Domestic Production,Tan tawan,86
2018,NOV,Domestic Production,Yoong thong,5
2018,NOV,Import,LNG ,576
2018,NOV,Import,Yadana,445
2018,NOV,Import,Yetakun,137
2018,NOV,Import,Zawtika,209
2018,OCT,Domestic Production,Arthit,257
2018,OCT,Domestic Production,Bongkot,563
2018,OCT,Domestic Production,Bongkot Tai,415
2018,OCT,Domestic Production,Erawan,1268
2018,OCT,Domestic Production,JDA,508
2018,OCT,Domestic Production,Jasmin,5
2018,OCT,Domestic Production,Lanta,1
2018,OCT,Domestic Production,Nam phong,9
2018,OCT,Domestic Production,Oths.,5
2018,OCT,Domestic Production,Pailin,428
2018,OCT,Domestic Production,Phu horm,110
2018,OCT,Domestic Production,Sirikit,29
2018,OCT,Domestic Production,Tan tawan,90
2018,OCT,Domestic Production,Yoong thong,6
2018,OCT,Import,LNG ,585
2018,OCT,Import,Yadana,434
2018,OCT,Import,Yetakun,141
2018,OCT,Import,Zawtika,231
2018,SEP,Domestic Production,Arthit,211
2018,SEP,Domestic Production,Bongkot,433
2018,SEP,Domestic Production,Bongkot Tai,343
2018,SEP,Domestic Production,Erawan,987
2018,SEP,Domestic Production,JDA,515
2018,SEP,Domestic Production,Jasmin,5
2018,SEP,Domestic Production,Lanta,3
2018,SEP,Domestic Production,Nam phong,7
2018,SEP,Domestic Production,Oths.,5
2018,SEP,Domestic Production,Pailin,440
2018,SEP,Domestic Production,Phu horm,38
2018,SEP,Domestic Production,Sirikit,31
2018,SEP,Domestic Production,Tan tawan,88
2018,SEP,Domestic Production,Yoong thong,8
2018,SEP,Import,LNG ,685
2018,SEP,Import,Yadana,470
2018,SEP,Import,Yetakun,142
2018,SEP,Import,Zawtika,234
1986,APR,Domestic Production,Erawan,330
1986,APR,Domestic Production,Sirikit,22
1986,AUG,Domestic Production,Erawan,296
1986,AUG,Domestic Production,Sirikit,26
1986,DEC,Domestic Production,Erawan,347
1986,DEC,Domestic Production,Sirikit,32
1986,FEB,Domestic Production,Erawan,316
1986,FEB,Domestic Production,Sirikit,34
1986,JAN,Domestic Production,Erawan,338
1986,JAN,Domestic Production,Sirikit,32
1986,JUL,Domestic Production,Erawan,302
1986,JUL,Domestic Production,Sirikit,29
1986,JUN,Domestic Production,Erawan,314
1986,JUN,Domestic Production,Sirikit,29
1986,MAR,Domestic Production,Erawan,342
1986,MAR,Domestic Production,Sirikit,31
1986,MAY,Domestic Production,Erawan,334
1986,MAY,Domestic Production,Sirikit,28
1986,NOV,Domestic Production,Erawan,327
1986,NOV,Domestic Production,Sirikit,30
1986,OCT,Domestic Production,Erawan,325
1986,OCT,Domestic Production,Sirikit,29
1986,SEP,Domestic Production,Erawan,279
1986,SEP,Domestic Production,Sirikit,29
1987,APR,Domestic Production,Erawan,409
1987,APR,Domestic Production,Sirikit,29
1987,AUG,Domestic Production,Erawan,484
1987,AUG,Domestic Production,Sirikit,31
1987,DEC,Domestic Production,Erawan,469
1987,DEC,Domestic Production,Sirikit,36
1987,FEB,Domestic Production,Erawan,402
1987,FEB,Domestic Production,Sirikit,27
1987,JAN,Domestic Production,Erawan,368
